Year,Smartphone Unit Sales,PC Unit Sales (in millions)
0,0,0
1,1.2,1.69
2,10.1,57.76
3,22.3,106.09
4,31.2,492.84
5,57.9,1536.64
6,64.2,2294.41
7,122.3,3564.09
8,139.2,5026.81
9,173.5,6496.36
10,304.7,8630.41
11,494.5,12882.25
12,725.3,18144.09
13,1019.7,16409.61
14,1301.7,17529.76
15,1432.9,28527.21
